unique_identifier,amount,date
TX-BCA-T3-001,-101375.00,1779620400
TX-BCA-T3-002,102750.00,1779621020
TX-BCA-T3-003,-104125.00,1779621641
TX-BCA-T3-004,105500.00,1779622262
TX-BCA-T3-005,-106875.00,1779622882
TX-BCA-T3-006,108250.00,1779623503
TX-BCA-T3-007,-109625.00,1779624124
TX-BCA-T3-008,111000.00,1779624744
TX-BCA-T3-009,-112375.00,1779625365
TX-BCA-T3-010,113750.00,1779625986
TX-BCA-T3-011,-115125.00,1779626606
TX-BCA-T3-012,116500.00,1779627227
TX-BCA-T3-013,-117875.00,1779627848
TX-BCA-T3-014,119250.00,1779628468
TX-BCA-T3-015,-120625.00,1779629089
TX-BCA-T3-016,122000.00,1779629710
TX-BCA-T3-017,-123375.00,1779630331
TX-BCA-T3-018,124750.00,1779630951
TX-BCA-T3-019,-126125.00,1779631572
TX-BCA-T3-020,127500.00,1779632193
TX-BCA-T3-MM-01,-305000.00,1779635296
TX-BCA-T3-MM-02,-402500.50,1779635917
STMT-BCA-T3-OIB-01,-34500.00,1779632813
STMT-BCA-T3-OIB-02,39000.00,1779633434
STMT-BCA-T3-OIB-03,-43500.00,1779634055
STMT-BCA-T3-OIB-04,48000.00,1779634675
STMT-BCA-T3-OIB-05,-52500.00,1779635296
STMT-BCA-T3-OIB-06,57000.00,1779635917
STMT-BCA-T3-OIB-07,-61500.00,1779636537
STMT-BCA-T3-OIB-08,66000.00,1779637158
