transaction_id,amount,type,transaction_time
TX-BCA-T3-001,101375.00,DEBIT,1779620400
TX-BCA-T3-002,102750.00,CREDIT,1779621020
TX-BCA-T3-003,104125.00,DEBIT,1779621641
TX-BCA-T3-004,105500.00,CREDIT,1779622262
TX-BCA-T3-005,106875.00,DEBIT,1779622882
TX-BCA-T3-006,108250.00,CREDIT,1779623503
TX-BCA-T3-007,109625.00,DEBIT,1779624124
TX-BCA-T3-008,111000.00,CREDIT,1779624744
TX-BCA-T3-009,112375.00,DEBIT,1779625365
TX-BCA-T3-010,113750.00,CREDIT,1779625986
TX-BCA-T3-011,115125.00,DEBIT,1779626606
TX-BCA-T3-012,116500.00,CREDIT,1779627227
TX-BCA-T3-013,117875.00,DEBIT,1779627848
TX-BCA-T3-014,119250.00,CREDIT,1779628468
TX-BCA-T3-015,120625.00,DEBIT,1779629089
TX-BCA-T3-016,122000.00,CREDIT,1779629710
TX-BCA-T3-017,123375.00,DEBIT,1779630331
TX-BCA-T3-018,124750.00,CREDIT,1779630951
TX-BCA-T3-019,126125.00,DEBIT,1779631572
TX-BCA-T3-020,127500.00,CREDIT,1779632193
TX-BCA-T3-OIS-01,59999.00,DEBIT,1779632813
TX-BCA-T3-OIS-02,69998.00,CREDIT,1779633434
TX-BCA-T3-OIS-03,79997.00,DEBIT,1779634055
TX-BCA-T3-OIS-04,89996.00,CREDIT,1779634675
TX-BCA-T3-OIS-05,99995.00,DEBIT,1779635296
TX-BCA-T3-MM-01,300000.00,DEBIT,1779635296
TX-BCA-T3-MM-02,400000.00,DEBIT,1779635917
TX-BCA-T3-OIS-B-01,89200.00,CREDIT,1779636537
TX-BCA-T3-OIS-B-02,90400.00,CREDIT,1779637158
TX-BCA-T3-OIS-B-03,91600.00,CREDIT,1779637779
